#,Tag,Freq
1,rock,101071
2,pop,69159
3,alternative,55777
4,indie,48175
5,electronic,46270
6,female vocalists,42565
7,favorites,39921
8,Love,34901
9,dance,33618
10,00s,31432
11,alternative rock,30334
12,jazz,30152
13,beautiful,29421
14,singer-songwriter,27910
15,metal,27430
16,chillout,27276
17,male vocalists,27269
18,Awesome,26248
19,classic rock,25771
20,soul,24702
21,indie rock,24619
22,Mellow,24356
23,electronica,24087
24,80s,23492
25,folk,23492
26,british,23033
27,90s,23018
28,chill,22746
29,american,22694
30,instrumental,21837
31,punk,21203
32,oldies,20979
33,seen live,20705
34,blues,20474
35,hard rock,20241
36,cool,19581
37,Favorite,18864
38,ambient,17982
39,acoustic,17889
40,experimental,17764
41,Favourites,17722
42,female vocalist,17328
43,guitar,17302
44,Hip-Hop,16712
45,70s,16075
46,party,15320
47,country,15197
48,easy listening,15076
49,sexy,14706
50,catchy,14490
